                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6515,                 3.4186,                 1.7293,                0.34101,                0.51895,                0.31334,                0.13235,                 1.7566,                 4.8168,                 2.2048,             0.00051677,             0.00051677,             0.00051677
                      2,                  1.578,                 1.8613,                 1.6691,                0.38284,                0.12211,                 0.1334,                0.04749,                 2.2779,                 20.157,                 2.8576,              0.0010398,              0.0010398,              0.0010398
                      3,                 1.5852,                 1.7102,                 1.6613,                0.06498,                0.12947,                0.02626,                0.00801,                   2.84,                 20.282,                 4.1416,              0.0015523,              0.0015523,              0.0015523
                      4,                 1.6431,                  1.668,                 1.6972,                0.01654,                0.43053,                0.01227,                0.00417,                 2.7068,                    inf,                  5.354,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6106,                  1.694,                 1.6625,                0.20199,                0.30316,                0.14136,                0.06778,                 2.0288,                 4.9132,                 2.1777,               0.001601,               0.001601,               0.001601
                      6,                 1.5686,                 1.6702,                 1.6561,                0.35588,                0.41263,                0.32253,                0.15362,                 1.7035,                 4.6985,                 1.9344,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5342,                 1.5733,                 1.6036,                0.50313,                0.51053,                0.49065,                  0.223,                  1.762,                 2.4624,                 1.9636,               0.001568,               0.001568,               0.001568
                      8,                 1.4718,                 1.5041,                 1.5698,                0.54545,                0.58483,                0.60034,                0.31084,                 1.6163,                 1.7701,                 1.8573,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4192,                 1.4093,                 1.5374,                0.69609,                0.62685,                0.71125,                0.41547,                 1.3667,                 1.6821,                 1.6127,               0.001535,               0.001535,               0.001535
                     10,                 1.4171,                 1.3498,                 1.5127,                0.42356,                0.54947,                0.46288,                0.24038,                 1.6814,                 1.8588,                 1.8202,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3539,                  1.306,                 1.4628,                0.54942,                0.52842,                0.53869,                0.28386,                 1.6377,                 1.9053,                 1.8172,               0.001502,               0.001502,               0.001502
                     12,                 1.3515,                 1.3173,                  1.472,                0.65658,                0.58764,                0.68638,                0.41287,                 1.2942,                 1.6345,                 1.5155,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3434,                 1.2497,                  1.473,                0.58004,                0.51789,                0.56724,                0.28972,                 1.6483,                 1.7934,                  1.826,               0.001469,               0.001469,               0.001469
                     14,                 1.3496,                 1.3085,                 1.4799,                0.72723,                0.65388,                0.73765,                0.42805,                 1.4201,                 1.3507,                 1.6298,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2997,                 1.2527,                 1.4685,                0.70438,                0.71579,                0.72162,                0.42601,                 1.3515,                 1.4462,                 1.5554,               0.001436,               0.001436,               0.001436
                     16,                 1.3192,                 1.2042,                 1.4345,                0.61926,                0.66421,                0.70877,                0.43465,                  1.268,                 1.8871,                 1.5297,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3118,                 1.1921,                  1.441,                0.65362,                0.66316,                0.69946,                 0.4265,                 1.2683,                 1.4491,                 1.4956,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.296,                 1.1659,                 1.4351,                0.73558,                0.70632,                0.76899,                0.46705,                 1.3398,                 1.2992,                 1.5382,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2391,                 1.1302,                 1.3927,                0.72643,                0.73474,                0.77584,                0.46762,                 1.3543,                 1.2018,                 1.5832,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.2186,                 1.1046,                   1.37,                0.78956,                0.69158,                  0.806,                0.52043,                 1.2265,                 1.0815,                 1.4466,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2516,                 1.1382,                   1.41,                0.74407,                0.71158,                0.78234,                0.48458,                 1.2461,                 1.3062,                 1.4966,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2428,                  1.076,                 1.4022,                0.72154,                0.73368,                0.76148,                0.47988,                 1.3021,                  1.216,                 1.5307,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2444,                 1.0809,                 1.4064,                0.64327,                0.70842,                0.72064,                0.43371,                 1.2756,                 1.4635,                 1.5231,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1813,                 1.0198,                 1.3641,                0.77374,                0.73073,                0.80618,                0.51868,                 1.2242,                 1.0589,                   1.44,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2188,                 1.0772,                 1.3903,                0.74924,                0.76526,                0.80313,                0.52098,                 1.1678,                 1.1682,                   1.41,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1893,                 1.0347,                 1.3506,                0.84853,                0.70842,                0.82081,                0.51594,                 1.2959,                 1.0955,                 1.4886,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.205,                 1.0648,                 1.3644,                0.70225,                0.72493,                0.76082,                0.47464,                 1.2458,                 1.3704,                 1.4803,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1456,                 1.0031,                 1.3243,                0.81301,                0.76888,                0.85609,                 0.5427,                 1.2214,                0.94023,                 1.4392,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1667,                 0.9914,                 1.3417,                0.78914,                0.76737,                0.83635,                0.54412,                 1.2083,                0.97607,                 1.4385,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1458,                0.97983,                   1.32,                0.72765,                0.79895,                0.82872,                0.54875,                 1.1518,                0.99759,                 1.4151,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0991,                0.94472,                 1.2983,                0.84892,                0.70387,                 0.8287,                0.55406,                 1.1388,                0.99006,                 1.3743,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1145,                0.93236,                 1.3045,                0.79442,                 0.7403,                0.82444,                0.52988,                 1.1921,                 1.1218,                 1.4345,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1112,                0.93041,                 1.3141,                0.81338,                0.73895,                 0.8531,                0.54574,                 1.1625,                0.96824,                 1.4286,              0.0011389,              0.0011389,              0.0011389
                     34,                  1.115,                0.93493,                 1.3161,                0.80679,                0.75601,                0.84176,                0.53877,                 1.2114,                 0.9736,                 1.4427,              0.0011224,              0.0011224,              0.0011224
                     35,                  1.118,                0.92273,                 1.3031,                0.85548,                 0.7477,                0.87013,                0.55814,                 1.1808,                0.90817,                 1.4228,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0862,                0.92418,                 1.2898,                0.88066,                0.73019,                0.84502,                0.56282,                 1.1819,                0.94148,                 1.4034,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1023,                0.94067,                 1.2922,                0.88956,                   0.78,                0.87425,                0.58466,                 1.1472,                0.88719,                 1.3854,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0909,                0.91089,                 1.3041,                0.77248,                0.77912,                 0.8197,                0.52067,                 1.2064,                 0.9451,                  1.461,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0932,                0.86622,                 1.2763,                0.84316,                0.80316,                0.87923,                0.58951,                 1.1363,                 0.8711,                 1.4076,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0731,                0.89713,                 1.2984,                0.78775,                0.77474,                0.85596,                0.57499,                 1.1207,                0.96342,                 1.3844,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0578,                0.86318,                 1.2664,                0.85803,                 0.7698,                 0.8704,                 0.5685,                 1.1713,                0.91768,                  1.395,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0823,                 0.8483,                 1.2692,                0.84272,                0.80654,                0.88788,                0.58748,                  1.114,                0.88791,                  1.374,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0542,                0.82548,                 1.2567,                0.86141,                0.82441,                0.90884,                0.61427,                  1.104,                0.77411,                 1.3508,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0261,                0.81706,                   1.25,                0.88168,                0.82364,                0.89617,                0.61547,                 1.0905,                0.81709,                 1.3382,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0034,                0.80625,                 1.2446,                 0.8658,                0.74023,                0.87359,                0.58813,                 1.1182,                0.83748,                 1.3545,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0201,                 0.7964,                 1.2444,                0.83863,                0.79322,                0.87575,                0.59681,                 1.0917,                0.85652,                 1.3334,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0304,                0.81873,                 1.2451,                0.82686,                0.75906,                0.85388,                0.56804,                 1.1428,                0.97954,                 1.3985,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0208,                0.81628,                 1.2482,                0.75569,                0.76105,                 0.8413,                0.56325,                 1.1384,                0.96227,                 1.4108,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0072,                0.81437,                  1.219,                0.86165,                   0.82,                0.90041,                0.60686,                 1.0852,                0.84964,                 1.3273,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0034,                0.76665,                 1.2206,                0.87873,                0.77368,                0.89479,                0.61255,                 1.0966,                0.80041,                  1.346,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0191,                0.80325,                 1.2402,                  0.831,                0.81779,                0.88594,                0.59849,                 1.1053,                0.87067,                 1.3848,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0037,                0.80186,                 1.2305,                0.84781,                0.79368,                0.88919,                0.59476,                 1.1456,                0.84545,                 1.3924,             0.00082533,             0.00082533,             0.00082533
                     53,                0.98055,                 0.7439,                 1.2061,                0.89189,                0.79022,                0.90182,                  0.614,                 1.1009,                0.77231,                 1.3516,             0.00080883,             0.00080883,             0.00080883
                     54,                0.96121,                   0.73,                 1.1948,                0.85619,                0.75684,                0.88477,                0.59763,                 1.0929,                 0.8423,                 1.3703,             0.00079233,             0.00079233,             0.00079233
                     55,                0.96548,                0.74238,                 1.2131,                0.87273,                0.79401,                0.89932,                0.59403,                 1.1388,                0.77195,                 1.3837,             0.00077582,             0.00077582,             0.00077582
                     56,                0.97219,                0.75531,                 1.2001,                0.86702,                0.80986,                0.90278,                0.62904,                 1.0717,                0.78333,                 1.3175,             0.00075932,             0.00075932,             0.00075932
                     57,                0.96416,                0.73779,                 1.2122,                0.87398,                0.80105,                0.90202,                0.61507,                 1.1024,                0.76384,                 1.3684,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.9612,                0.70802,                  1.193,                0.84116,                0.81386,                0.89189,                 0.6006,                 1.0936,                0.78357,                 1.3568,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.9711,                0.75547,                  1.218,                0.83586,                0.83085,                0.90246,                0.61729,                 1.0809,                0.79818,                 1.3527,             0.00070981,             0.00070981,             0.00070981
                     60,                0.93089,                0.70764,                 1.1791,                0.80091,                0.89352,                0.90756,                0.62295,                 1.0824,                0.76046,                 1.3443,             0.00069331,             0.00069331,             0.00069331
                     61,                0.90856,                0.68685,                  1.169,                0.89024,                0.78632,                0.89812,                0.62394,                 1.0711,                 0.7798,                 1.3415,              0.0006768,              0.0006768,              0.0006768
                     62,                0.91195,                0.68948,                 1.1646,                0.87309,                0.79684,                0.89373,                0.61424,                 1.0549,                0.79975,                 1.3433,              0.0006603,              0.0006603,              0.0006603
                     63,                 0.9171,                0.68238,                  1.167,                 0.8233,                0.79053,                0.87575,                0.60049,                 1.0593,                0.81914,                 1.3401,              0.0006438,              0.0006438,              0.0006438
                     64,                0.91358,                  0.704,                 1.1759,                0.82478,                0.83789,                0.89928,                0.63295,                  1.039,                0.76245,                 1.3072,             0.00062729,             0.00062729,             0.00062729
                     65,                0.91993,                0.68655,                 1.1768,                0.90277,                0.85029,                0.92432,                0.64355,                 1.0293,                0.69263,                 1.3115,             0.00061079,             0.00061079,             0.00061079
                     66,                0.88329,                0.65447,                 1.1452,                0.84087,                0.87331,                0.91333,                0.62885,                 1.0659,                0.74061,                 1.3587,             0.00059429,             0.00059429,             0.00059429
                     67,                0.89916,                 0.6681,                 1.1634,                0.89232,                0.79579,                0.91412,                0.63889,                 1.0302,                0.71572,                 1.3195,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.8883,                0.64669,                 1.1611,                 0.8205,                0.84211,                0.87663,                0.59846,                 1.1367,                0.79248,                 1.4165,             0.00056128,             0.00056128,             0.00056128
                     69,                0.87955,                0.64421,                 1.1538,                0.86895,                0.83263,                0.91369,                 0.6354,                 1.0512,                0.72219,                 1.3253,             0.00054478,             0.00054478,             0.00054478
                     70,                0.86138,                0.64949,                 1.1392,                0.87442,                0.85263,                0.92118,                0.63298,                 1.0687,                 0.7214,                 1.3474,             0.00052827,             0.00052827,             0.00052827
                     71,                0.87672,                0.64011,                 1.1416,                0.82883,                0.85263,                0.89762,                0.61097,                 1.0927,                0.73275,                 1.3626,             0.00051177,             0.00051177,             0.00051177
                     72,                0.86427,                0.61798,                 1.1451,                0.86196,                 0.8282,                0.90045,                0.62161,                 1.0917,                0.76392,                 1.3905,             0.00049527,             0.00049527,             0.00049527
                     73,                0.85425,                0.62762,                 1.1343,                0.87383,                0.81654,                0.91235,                0.62931,                 1.0846,                0.73159,                 1.3624,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.8411,                0.62552,                 1.1245,                0.87137,                0.83895,                 0.9134,                0.62802,                 1.0498,                0.73353,                 1.3229,             0.00046226,             0.00046226,             0.00046226
                     75,                0.84973,                0.61824,                 1.1239,                 0.8727,                0.82526,                0.91427,                0.63881,                 1.0438,                0.75003,                 1.3269,             0.00044576,             0.00044576,             0.00044576
                     76,                0.82736,                0.59674,                 1.1272,                0.90511,                 0.8233,                0.92145,                0.65063,                 1.0262,                0.68812,                 1.3105,             0.00042925,             0.00042925,             0.00042925
                     77,                0.82106,                0.59991,                 1.1026,                0.88299,                0.80947,                 0.9119,                0.64175,                 1.0228,                0.70553,                 1.3084,             0.00041275,             0.00041275,             0.00041275
                     78,                0.83122,                0.59069,                 1.1182,                0.89707,                0.81648,                0.91344,                0.64328,                  1.032,                0.68783,                 1.3152,             0.00039625,             0.00039625,             0.00039625
                     79,                0.83429,                0.58133,                 1.1127,                0.87489,                0.82947,                0.90889,                0.64616,                 1.0353,                0.73216,                 1.3103,             0.00037974,             0.00037974,             0.00037974
                     80,                0.82165,                0.56893,                 1.1196,                0.87829,                0.84421,                0.92573,                  0.656,                 1.0255,                0.67681,                 1.3015,             0.00036324,             0.00036324,             0.00036324
                     81,                0.80161,                0.56997,                 1.0995,                 0.9017,                0.84526,                0.92779,                0.64921,                 1.0537,                  0.683,                 1.3325,             0.00034674,             0.00034674,             0.00034674
                     82,                0.81225,                0.58351,                 1.1108,                0.83963,                0.86526,                0.90997,                0.62953,                 1.0802,                0.72763,                 1.3742,             0.00033023,             0.00033023,             0.00033023
                     83,                0.79376,                0.56672,                  1.101,                0.85362,                0.87163,                0.91919,                 0.6447,                 1.0459,                0.69478,                 1.3335,             0.00031373,             0.00031373,             0.00031373
                     84,                0.78091,                0.54278,                 1.0925,                0.87114,                0.87684,                0.92686,                0.65476,                 1.0488,                0.66707,                 1.3349,             0.00029723,             0.00029723,             0.00029723
                     85,                0.78045,                0.54225,                 1.0756,                0.88143,                   0.88,                0.92784,                0.65661,                 1.0354,                0.67616,                 1.3098,             0.00028072,             0.00028072,             0.00028072
                     86,                0.78069,                0.55216,                 1.0861,                0.85167,                0.89895,                0.92286,                0.65019,                 1.0411,                0.67218,                  1.325,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.7875,                0.54837,                   1.09,                0.89382,                0.88611,                0.93576,                0.67644,                 1.0112,                0.61033,                 1.3069,             0.00024772,             0.00024772,             0.00024772
                     88,                0.74567,                0.51781,                 1.0751,                0.87828,                0.87263,                0.92468,                0.65435,                 1.0377,                0.68499,                 1.3397,             0.00023121,             0.00023121,             0.00023121
                     89,                0.75953,                0.51437,                 1.0784,                0.87888,                0.86632,                0.92799,                0.66681,                  1.007,                0.64385,                 1.3052,             0.00021471,             0.00021471,             0.00021471
                     90,                0.78461,                0.53196,                 1.0855,                0.87698,                0.87895,                0.92753,                0.65949,                 1.0365,                0.64978,                 1.3226,             0.00019821,             0.00019821,             0.00019821
                     91,                0.70471,                0.43474,                 1.0296,                0.88382,                0.88947,                 0.9328,                 0.6644,                 1.0215,                0.64451,                 1.3116,              0.0001817,              0.0001817,              0.0001817
                     92,                0.69151,                0.42213,                 1.0333,                0.90794,                0.85132,                0.93052,                0.67326,                0.99237,                0.61854,                 1.2905,              0.0001652,              0.0001652,              0.0001652
                     93,                0.68217,                0.41827,                 1.0298,                0.87118,                0.89789,                0.93589,                0.66675,                 1.0143,                0.62395,                 1.3113,              0.0001487,              0.0001487,              0.0001487
                     94,                0.68026,                0.41054,                 1.0206,                0.87783,                0.90763,                0.93381,                0.65918,                 1.0323,                 0.6269,                  1.328,             0.00013219,             0.00013219,             0.00013219
                     95,                0.66407,                0.39707,                 1.0195,                0.88618,                0.90975,                0.93239,                0.67419,                 1.0076,                0.60308,                 1.3108,             0.00011569,             0.00011569,             0.00011569
                     96,                0.65396,                0.39028,                 1.0024,                0.90912,                0.87789,                0.93427,                0.66832,                 1.0276,                0.61524,                 1.3209,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.63417,                0.38044,                0.99347,                0.90079,                0.89263,                0.93372,                0.66336,                 1.0382,                0.62574,                 1.3342,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.63032,                0.38044,                0.99989,                0.90296,                0.89136,                0.92977,                0.66411,                  1.031,                 0.6329,                 1.3303,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.62767,                0.36458,                 0.9801,                 0.8911,                0.90316,                0.93057,                0.66848,                 1.0235,                0.63287,                 1.3274,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.62843,                0.37913,                 0.9973,                0.88287,                0.90211,                0.92983,                0.66583,                 1.0263,                0.63226,                  1.333,             3.3173e-05,             3.3173e-05,             3.3173e-05
